Feature,Absolute Correlation
partner_status,0.1378352167752748
mvpa_mins,0.07818711289557426
cholesterol_lowering_med,0.06561895830619444
BMI,0.06161582736073253
educational_status_1.0,0.05978374511721428
weight,0.055373116995833874
riskfactor_dyslipidemia,0.05521852447233988
riskfactor_familyhistory,0.05072610439853544
sex,0.047734571166443335
treatment_2.0,0.04054569529854865
age,0.04029203733560624
educational_status_3.0,0.034547544067122106
treatment_1.0,0.032837147330145255
employment_status,0.02923612655121332
riskfactor_hypertension,0.029165865794067554
educational_status_2.0,0.027542878573361903
perception,0.019848483931467268
ACE_inhibitor,0.013029734638338149
treatment_0.0,0.008116543764825174
height,0.008067097203829829
steps,0.002249668957432741
EMI,
EAP,
EPTCA,
ECABG,
ECVA_TIA,
riskfactor_DM,
riskfactor_smoking,
acetylsalicylic_acid,
calcium_blocker,
beta_blocker,
thienopyridine,
oral_anticoagulant,
nitrate,
diuretic,
psychotropic,
angiotensin2_receptor_blocker,
