Feature,Mutual Information
mvpa_mins,2.3785011244130896
age,0.45975073557703405
height,0.4226815510853976
weight,0.4182375845966657
BMI,0.4112768022416109
educational_status,0.10884893461713441
steps,0.08760161165726643
partner_status,0.06011701739713882
treatment,0.05428515326795824
employment_status,0.02344211828413334
perception,0.019224340909627102
riskfactor_hypertension,0.0178344053170294
riskfactor_familyhistory,0.013471488204223725
cholesterol_lowering_med,0.007831760722088799
riskfactor_dyslipidemia,0.0068083493770592085
riskfactor_DM,4.440892098500626e-16
EMI,4.440892098500626e-16
psychotropic,4.440892098500626e-16
ECVA_TIA,4.440892098500626e-16
EPTCA,4.440892098500626e-16
ECABG,4.440892098500626e-16
EAP,4.440892098500626e-16
calcium_blocker,4.440892098500626e-16
riskfactor_smoking,4.440892098500626e-16
acetylsalicylic_acid,4.440892098500626e-16
nitrate,4.440892098500626e-16
thienopyridine,4.440892098500626e-16
beta_blocker,4.440892098500626e-16
oral_anticoagulant,4.440892098500626e-16
angiotensin2_receptor_blocker,4.440892098500626e-16
diuretic,4.440892098500626e-16
sex,0.0
ACE_inhibitor,0.0
