Feature,Selected
riskfactor_hypertension,True
treatment,True
mvpa_mins,True
steps,True
ACE_inhibitor,True
riskfactor_dyslipidemia,True
age,True
riskfactor_familyhistory,True
perception,True
employment_status,True
educational_status,True
BMI,True
height,True
weight,True
beta_blocker,False
partner_status,False
angiotensin2_receptor_blocker,False
psychotropic,False
diuretic,False
nitrate,False
oral_anticoagulant,False
thienopyridine,False
EMI,False
calcium_blocker,False
EAP,False
cholesterol_lowering_med,False
acetylsalicylic_acid,False
riskfactor_smoking,False
riskfactor_DM,False
ECVA_TIA,False
ECABG,False
EPTCA,False
sex,False
