Feature,Importance
steps,0.81893396
employment_status,0.02206353
BMI,0.015279319
treatment,0.015219295
height,0.01482899
educational_status,0.014618244
perception,0.013783886
riskfactor_dyslipidemia,0.012514478
mvpa_mins,0.012409399
partner_status,0.010960165
cholesterol_lowering_med,0.010712186
sex,0.010615425
age,0.009845388
weight,0.009198217
riskfactor_hypertension,0.009017494
EPTCA,0.0
EMI,0.0
riskfactor_DM,0.0
riskfactor_familyhistory,0.0
ECVA_TIA,0.0
ECABG,0.0
EAP,0.0
ACE_inhibitor,0.0
riskfactor_smoking,0.0
acetylsalicylic_acid,0.0
thienopyridine,0.0
beta_blocker,0.0
calcium_blocker,0.0
oral_anticoagulant,0.0
psychotropic,0.0
diuretic,0.0
nitrate,0.0
angiotensin2_receptor_blocker,0.0
